"region","age","gender","population"
"SSC20477",49,"F",0
"SSC20477",50,"M",0
"SSC20477",50,"F",3
"SSC20477",51,"M",0
"SSC20477",51,"F",0
"SSC20477",52,"M",3
"SSC20477",52,"F",0
"SSC20477",53,"M",5
"SSC20477",53,"F",0
"SSC20477",54,"M",3
"SSC20477",54,"F",3
"SSC20477",55,"M",3
"SSC20477",55,"F",0
"SSC20330",0,"M",0
"SSC20330",0,"F",0
"SSC20330",1,"M",0
"SSC20330",1,"F",0
"SSC20330",2,"M",0
"SSC20330",2,"F",0
"SSC20330",3,"M",0
"SSC20330",3,"F",0
"SSC20330",4,"M",0
"SSC20330",4,"F",0
"SSC20330",5,"M",0
"SSC20330",5,"F",0
"SSC20330",6,"M",3
"SSC20330",6,"F",0
"SSC20330",7,"M",0
"SSC20330",7,"F",0
"SSC20330",8,"M",0
"SSC20330",8,"F",0
"SSC20330",9,"M",0
"SSC20330",9,"F",0
"SSC20330",10,"M",0
"SSC20330",10,"F",0
"SSC20330",11,"M",0
"SSC20330",11,"F",0
"SSC20330",12,"M",0
"SSC20330",12,"F",0
"SSC20330",13,"M",0
"SSC20330",13,"F",0
"SSC20330",14,"M",0
"SSC20330",14,"F",0
"SSC20330",15,"M",0
"SSC20330",15,"F",0
"SSC20330",16,"M",0
"SSC20330",16,"F",0
"SSC20330",17,"M",0
"SSC20330",17,"F",0
"SSC20330",18,"M",0
"SSC20330",18,"F",0
"SSC20330",19,"M",0
"SSC20330",19,"F",0
"SSC20330",20,"M",0
"SSC20330",20,"F",0
"SSC20330",21,"M",0
"SSC20330",21,"F",0
"SSC20330",22,"M",0
"SSC20330",22,"F",0
"SSC20330",23,"M",0
"SSC20330",23,"F",0
"SSC20330",24,"M",0
"SSC20330",24,"F",0
"SSC20330",25,"M",0
"SSC20330",25,"F",0
"SSC20330",26,"M",0
"SSC20330",26,"F",0
"SSC20330",27,"M",0
"SSC20330",27,"F",0
"SSC20330",28,"M",0
"SSC20330",28,"F",0
"SSC20330",29,"M",0
"SSC20330",29,"F",0
"SSC20330",30,"M",0
"SSC20330",30,"F",0
"SSC20330",31,"M",0
"SSC20330",31,"F",0
"SSC20330",32,"M",0
"SSC20330",32,"F",0
"SSC20330",33,"M",3
"SSC20330",33,"F",0
"SSC20330",34,"M",0
"SSC20330",34,"F",0
"SSC20330",35,"M",0
"SSC20330",35,"F",3
"SSC20330",36,"M",0
"SSC20330",36,"F",0
"SSC20330",37,"M",0
"SSC20330",37,"F",0
"SSC20330",38,"M",0
"SSC20330",38,"F",0
"SSC20330",39,"M",0
"SSC20330",39,"F",0
"SSC20330",40,"M",0
"SSC20330",40,"F",0
"SSC20330",41,"M",3
"SSC20330",41,"F",0
"SSC20330",42,"M",0
"SSC20330",42,"F",0
"SSC20330",43,"M",0
"SSC20330",43,"F",0
"SSC20330",44,"M",0
"SSC20330",44,"F",3
"SSC20330",45,"M",0
"SSC20330",45,"F",3
"SSC20330",46,"M",0
"SSC20330",46,"F",0
"SSC20330",47,"M",0
"SSC20330",47,"F",3
"SSC20330",48,"M",0
"SSC20330",48,"F",0
"SSC20330",49,"M",0
"SSC20330",49,"F",0
"SSC20330",50,"M",0
"SSC20330",50,"F",0
"SSC20330",51,"M",0
"SSC20330",51,"F",0
"SSC20330",52,"M",0
"SSC20330",52,"F",0
"SSC20330",53,"M",0
"SSC20330",53,"F",0
"SSC20330",54,"M",0
"SSC20330",54,"F",0
"SSC20330",55,"M",0
"SSC20330",55,"F",0
"SSC21660",0,"M",0
"SSC21660",0,"F",0
"SSC21660",1,"M",0
"SSC21660",1,"F",0
"SSC21660",2,"M",0
"SSC21660",2,"F",0
"SSC21660",3,"M",0
"SSC21660",3,"F",3
"SSC21660",4,"M",0
"SSC21660",4,"F",0
"SSC21660",5,"M",0
"SSC21660",5,"F",0
"SSC21660",6,"M",3
"SSC21660",6,"F",4
"SSC21660",7,"M",0
"SSC21660",7,"F",0
"SSC21660",8,"M",0
"SSC21660",8,"F",0
"SSC21660",9,"M",3
"SSC21660",9,"F",0
"SSC21660",10,"M",0
"SSC21660",10,"F",0
"SSC21660",11,"M",3
"SSC21660",11,"F",3
"SSC21660",12,"M",0
"SSC21660",12,"F",0
"SSC21660",13,"M",3
"SSC21660",13,"F",0
"SSC21660",14,"M",0
"SSC21660",14,"F",3
"SSC21660",15,"M",0
"SSC21660",15,"F",0
"SSC21660",16,"M",3
"SSC21660",16,"F",0
"SSC21660",17,"M",0
"SSC21660",17,"F",0
"SSC21660",18,"M",0
"SSC21660",18,"F",0
"SSC21660",19,"M",0
"SSC21660",19,"F",0
"SSC21660",20,"M",0
"SSC21660",20,"F",0
"SSC21660",21,"M",0
"SSC21660",21,"F",0
"SSC21660",22,"M",0
"SSC21660",22,"F",3
"SSC21660",23,"M",0
"SSC21660",23,"F",0
"SSC21660",24,"M",0
"SSC21660",24,"F",0
"SSC21660",25,"M",0
"SSC21660",25,"F",0
"SSC21660",26,"M",0
"SSC21660",26,"F",0
"SSC21660",27,"M",0
"SSC21660",27,"F",0
"SSC21660",28,"M",0
"SSC21660",28,"F",0
"SSC21660",29,"M",0
"SSC21660",29,"F",0
"SSC21660",30,"M",0
"SSC21660",30,"F",0
"SSC21660",31,"M",0
"SSC21660",31,"F",0
"SSC21660",32,"M",0
"SSC21660",32,"F",0
"SSC21660",33,"M",0
"SSC21660",33,"F",0
"SSC21660",34,"M",0
"SSC21660",34,"F",0
"SSC21660",35,"M",0
"SSC21660",35,"F",0
"SSC21660",36,"M",0
"SSC21660",36,"F",0
"SSC21660",37,"M",3
"SSC21660",37,"F",0
"SSC21660",38,"M",0
"SSC21660",38,"F",0
"SSC21660",39,"M",0
"SSC21660",39,"F",0
"SSC21660",40,"M",0
"SSC21660",40,"F",3
"SSC21660",41,"M",0
"SSC21660",41,"F",3
"SSC21660",42,"M",3
"SSC21660",42,"F",0
"SSC21660",43,"M",3
"SSC21660",43,"F",0
"SSC21660",44,"M",7
"SSC21660",44,"F",3
"SSC21660",45,"M",0
"SSC21660",45,"F",0
"SSC21660",46,"M",3
"SSC21660",46,"F",3
"SSC21660",47,"M",3
"SSC21660",47,"F",4
"SSC21660",48,"M",3
"SSC21660",48,"F",3
"SSC21660",49,"M",0
"SSC21660",49,"F",3
"SSC21660",50,"M",0
"SSC21660",50,"F",0
"SSC21660",51,"M",0
"SSC21660",51,"F",0
"SSC21660",52,"M",0
"SSC21660",52,"F",0
"SSC21660",53,"M",0
"SSC21660",53,"F",0
"SSC21660",54,"M",3
"SSC21660",54,"F",0
"SSC21660",55,"M",0
"SSC21660",55,"F",0
"SSC22396",0,"M",0
"SSC22396",0,"F",0
"SSC22396",1,"M",0
"SSC22396",1,"F",0
"SSC22396",2,"M",0
"SSC22396",2,"F",0
"SSC22396",3,"M",0
"SSC22396",3,"F",0
"SSC22396",4,"M",0
"SSC22396",4,"F",0
"SSC22396",5,"M",0
"SSC22396",5,"F",0
"SSC22396",6,"M",0
"SSC22396",6,"F",0
"SSC22396",7,"M",0
"SSC22396",7,"F",3
"SSC22396",8,"M",0
"SSC22396",8,"F",3
"SSC22396",9,"M",0
"SSC22396",9,"F",0
"SSC22396",10,"M",0
"SSC22396",10,"F",0
"SSC22396",11,"M",0
"SSC22396",11,"F",0
"SSC22396",12,"M",0
"SSC22396",12,"F",0
"SSC22396",13,"M",0
