"","Food","Calories","Protein","Fat","Glucose","Fibre"
"219","Pizza, supreme, takeaway style",954,13,9.8,0.3,3
"220","Noodle, wheat, fresh, soaked, drained",608,6.3,1,0,1.7
"221","Noodle, wheat, instant, flavoured, dry, uncooked",1834,10.6,19.1,0,3.7
"222","Noodle, wheat, instant, flavoured, boiled, drained",598,3.6,6.2,0,1.2
"223","Noodle, wheat, instant, flavoured, boiled, undrained",225,1.3,2.3,0,0.4
"224","Noodle, rice stick, boiled, drained",498,2.5,0,0,0.7
"225","Pasta, gluten free, boiled from dry, no added salt",639,3.1,0.7,0,1.2
"226","Pasta, white wheat flour, dry",1458,12.7,1.4,0,3.2
"227","Pasta, white wheat flour, boiled from dry, no added salt",517,5.1,0.1,0,2
"228","Pasta, white wheat flour, fresh, boiled, no added salt",682,5.4,3,0,2.7
"229","Pasta, white wheat flour & egg, dry",1522,10.7,1.6,0,2.2
"230","Pasta, white wheat flour & egg, boiled from dry, no added salt",601,5.7,0.6,0,1.9
"231","Pasta, white wheat flour & spinach, dry",1525,11.9,1.3,0.9,4.4
"232","Pasta, white wheat flour & spinach, boiled from dry, no added salt",554,3.8,0.4,0,1.4
"233","Pasta, wholemeal wheat flour, dry",1404,12.5,2.2,0,9.9
"234","Pasta, wholemeal wheat flour, boiled from dry, no added salt",579,5.1,0.8,0,5.7
"235","Lasagne, beef, commercial, purchased frozen, baked",572,6.6,6.6,0.5,2.1
"236","Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce",658,6.4,5.3,0,1.6
"237","Pasta in cream based sauce, dry mix",1545,12.3,5.1,0.2,4
"238","Pasta in cream based sauce, prepared from dry mix with regular fat milk cows & margarine spread",475,3.9,3,0,0.9
"239","Spaghetti in tomato & cheese sauce, canned",227,2.5,0,1.2,0.8
"240","Spaghetti in tomato & cheese sauce, canned, reduced salt",227,2.5,0,1.2,0.8
"241","Croissant, plain",1505,10,19.1,1.5,2.7
"242","Pastry, filo, commercial, raw",1277,9.9,3.8,0,2.5
"243","Pastry, filo, commercial, baked",1631,12.2,3.1,0.1,4.3
"244","Pastry, puff, with butter, commercial, raw",1383,5.5,19,0,3.4
"245","Pastry, puff, with butter, commercial, baked",1797,7.1,24.7,0,4.4
"246","Pastry, puff, vegetable oil, commercial, raw",1321,5.5,16.4,0,3.4
"247","Pastry, puff, vegetable oil, commercial, baked",1694,7,21,0,4.4
"248","Pastry, shortcrust style, commercial, raw",1685,5.5,23.8,0,0.8
